,name,company,year,Price,fuel_type,distance
0,Hyundai Santro Xing XO eRLX Euro III,Hyundai,0.5,"80,000",Petrol,0.1125
1,Mahindra Jeep CL550 MDI,Mahindra,0.4583333333333333,"4,25,000",Diesel,0.0001
2,Maruti Suzuki Alto 800 Vxi,Maruti,0.9583333333333334,Ask For Price,Petrol,0.055
3,Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,0.7916666666666666,"3,25,000",Petrol,0.07
4,Ford EcoSport Titanium 1.5L TDCi,Ford,0.7916666666666666,"5,75,000",Diesel,0.09
5,Ford EcoSport Titanium 1.5L TDCi,Ford,0.8333333333333334,Ask For Price,Diesel,0.1475
6,Ford Figo,Ford,0.7083333333333334,"1,75,000",Diesel,0.1025
7,Hyundai Eon,Hyundai,0.75,"1,90,000",Petrol,0.0625
8,Ford EcoSport Ambiente 1.5L TDCi,Ford,0.875,"8,30,000",Diesel,0.061325
9,Maruti Suzuki Alto K10 VXi AMT,Maruti,0.8333333333333334,"2,50,000",Petrol,0.15
10,Skoda Fabia Classic 1.2 MPI,Skoda,0.625,"1,82,000",Petrol,0.15
11,Maruti Suzuki Stingray VXi,Maruti,0.8333333333333334,"3,15,000",Petrol,0.075
12,Hyundai Elite i20 Magna 1.2,Hyundai,0.7916666666666666,"4,15,000",Petrol,0.08
13,Mahindra Scorpio SLE BS IV,Mahindra,0.8333333333333334,"3,20,000",Diesel,0.12165
14,Hyundai Santro Xing XO eRLX Euro III,Hyundai,0.5,"80,000",Petrol,0.1125
15,Mahindra Jeep CL550 MDI,Mahindra,0.4583333333333333,"4,25,000",Diesel,0.0001
16,Audi A8,Audi,0.9166666666666666,"10,00,000",Petrol,0.01
17,Audi Q7,Audi,0.7916666666666666,"5,00,000",Diesel,0.042335
18,Mahindra Scorpio S10,Mahindra,0.875,"3,50,000",Diesel,0.1075
19,Maruti Suzuki Alto 800,Maruti,0.7916666666666666,"1,60,000",Petrol,0.088875
20,Mahindra Scorpio S10,Mahindra,0.875,"3,50,000",Diesel,0.1075
21,Mahindra Scorpio S10,Mahindra,0.875,"3,10,000",Diesel,0.098805
22,Maruti Suzuki Alto 800 Vxi,Maruti,0.8333333333333334,"75,000",Petrol,0.0975
23,Hyundai i20 Sportz 1.2,Hyundai,0.7083333333333334,"1,00,000",Petrol,0.1375
24,Hyundai i20 Sportz 1.2,Hyundai,0.7083333333333334,"1,00,000",Petrol,0.1375
25,Hyundai i20 Sportz 1.2,Hyundai,0.7083333333333334,"1,00,000",Petrol,0.1375
26,Maruti Suzuki Alto 800 Lx,Maruti,0.9166666666666666,"1,90,000",Petrol,0.18
27,Maruti Suzuki Vitara Brezza ZDi,Maruti,0.875,"2,90,000",Diesel,0.0399375
28,Maruti Suzuki Alto LX,Maruti,0.5416666666666666,"95,000",Petrol,0.175
29,Mahindra Bolero DI,Mahindra,0.9166666666666666,"1,80,000",Diesel,0.05863
30,Maruti Suzuki Swift Dzire ZDi,Maruti,0.7916666666666666,"3,85,000",Diesel,0.088805
31,Mahindra Scorpio S10 4WD,Mahindra,0.8333333333333334,"2,50,000",Diesel,0.12127
32,Maruti Suzuki Swift Vdi BSIII,Maruti,0.9166666666666666,"1,80,000",Petrol,0.0387175
33,Maruti Suzuki Wagon R VXi BS III,Maruti,0.75,"1,05,000",Petrol,0.0975
34,Maruti Suzuki Wagon R VXi Minor,Maruti,0.75,"1,05,000",Petrol,0.0975
35,Toyota Innova 2.0 G 8 STR BS IV,Toyota,0.7083333333333334,"6,50,000",Diesel,0.205
36,Renault Lodgy 85 PS RXL,Renault,0.9583333333333334,"6,89,999",Diesel,0.05
37,Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,0.7083333333333334,"4,48,000",Diesel,0.17
38,Maruti Suzuki Baleno Delta 1.2,Maruti,0.9166666666666666,"5,49,000",Diesel,0.08
39,Renault Duster 110 PS RxZ Diesel Plus,Renault,0.7083333333333334,"5,01,000",Diesel,0.095
40,Renault Duster 85 PS RxE Diesel,Renault,0.75,"4,89,999",Diesel,0.0675
41,Honda City 1.5 S MT,Honda,0.6666666666666666,"2,80,000",Petrol,0.0825
42,Maruti Suzuki Alto K10 VXi AMT,Maruti,0.8333333333333334,"2,50,000",Petrol,0.15
43,Maruti Suzuki Dzire,Maruti,0.75,"3,49,999",Diesel,0.115
44,Honda Amaze,Honda,0.75,"2,84,999",Diesel,0.115
45,Honda Amaze 1.5 SX i DTEC,Honda,0.8333333333333334,"3,45,000",Diesel,0.09
46,Honda City,Honda,0.8333333333333334,"4,99,999",Petrol,0.1375
47,Datsun Redi GO S,Datsun,0.9166666666666666,"2,35,000",Petrol,0.04
48,Maruti Suzuki SX4 ZXI MT,Maruti,0.625,"2,49,999",Petrol,0.09
49,Mitsubishi Pajero Sport Limited Edition,Mitsubishi,0.8333333333333334,"14,75,000",Diesel,0.1175
50,Mahindra Bolero DI,Mahindra,0.9166666666666666,"1,80,000",Diesel,0.05863
51,Maruti Suzuki Swift Dzire ZDi,Maruti,0.7916666666666666,"3,85,000",Diesel,0.088805
52,Mahindra Scorpio S10 4WD,Mahindra,0.8333333333333334,"2,50,000",Diesel,0.12127
53,Maruti Suzuki Swift Vdi BSIII,Maruti,0.9166666666666666,"1,80,000",Petrol,0.0387175
54,Maruti Suzuki Wagon R VXi BS III,Maruti,0.75,"1,05,000",Petrol,0.0975
55,Maruti Suzuki Wagon R VXi Minor,Maruti,0.75,"1,05,000",Petrol,0.0975
56,Mahindra Scorpio S10,Mahindra,0.8333333333333334,"3,95,000",Diesel,0.0875
57,Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,0.9166666666666666,"2,20,000",Petrol,0.077185
58,Honda City ZX CVT,Honda,0.9166666666666666,"1,70,000",Diesel,0.0375
59,Maruti Suzuki Wagon R LX BS IV,Maruti,0.75,"85,000",Petrol,0.0742125
60,Ford Figo,Ford,0.7083333333333334,"1,75,000",Diesel,0.1025
61,Hyundai Eon,Hyundai,0.75,"1,90,000",Petrol,0.0625
62,Tata Indigo eCS LS CR4 BS IV,Tata,0.9166666666666666,"2,00,000",Diesel,0.325
63,Ford EcoSport Ambiente 1.5L TDCi,Ford,0.875,"8,30,000",Diesel,0.061325
64,Tata Indigo eCS LS CR4 BS IV,Tata,0.9166666666666666,"2,00,000",Diesel,0.325
65,Mahindra Scorpio SLE BS IV,Mahindra,0.7083333333333334,"5,70,000",Diesel,0.0475
66,Volkswagen Polo Highline Exquisite P,Volkswagen,0.7916666666666666,"3,15,000",Petrol,0.15
67,Skoda Fabia Classic 1.2 MPI,Skoda,0.625,"1,82,000",Petrol,0.15
68,Maruti Suzuki Stingray VXi,Maruti,0.8333333333333334,"3,15,000",Petrol,0.075
70,Chevrolet Spark LS 1.0,Chevrolet,0.625,"1,10,000",Petrol,0.1025
71,Renault Duster 110PS Diesel RxZ,Renault,0.7083333333333334,"5,01,000",Diesel,0.0875
72,Honda City,Honda,0.8333333333333334,"4,48,999",Petrol,0.135
73,Mini Cooper S 1.6,Mini,0.75,"18,91,111",Petrol,0.0325
74,Datsun Redi GO S,Datsun,0.9166666666666666,"2,35,000",Petrol,0.04
75,Skoda Fabia 1.2L Diesel Ambiente,Skoda,0.6666666666666666,"1,59,500",Diesel,0.0955
76,Honda Amaze,Honda,0.8333333333333334,"3,44,999",Petrol,0.055
77,Honda Amaze,Honda,0.8333333333333334,"3,44,999",Petrol,0.055
78,Renault Duster,Renault,0.7916666666666666,"4,49,999",Diesel,0.125
79,Mini Cooper S 1.6,Mini,0.75,"18,91,111",Petrol,0.03375
80,Mahindra Scorpio S4,Mahindra,0.8333333333333334,"8,65,000",Diesel,0.075
81,Mahindra Scorpio VLX 2WD BS IV,Mahindra,0.7916666666666666,"6,99,000",Diesel,0.125
82,Mahindra Quanto C8,Mahindra,0.75,"3,75,000",Diesel,0.05
83,Ford EcoSport,Ford,0.9166666666666666,"4,89,999",Petrol,0.0975
84,Honda Brio,Honda,0.7083333333333334,"2,24,999",Petrol,0.075
86,Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,1.0,"12,00,000",Diesel,0.009
87,Hyundai i20 Magna,Hyundai,0.5833333333333334,"1,95,000",Petrol,0.08
88,Toyota Corolla Altis Diesel D4DG,Toyota,0.625,"3,51,000",Diesel,0.095
89,Hyundai Verna Transform SX VTVT,Hyundai,0.5416666666666666,"1,60,000",Petrol,0.1125
90,Toyota Corolla Altis Petrol Ltd,Toyota,0.5833333333333334,"2,40,000",Petrol,0.0875
91,Honda City 1.5 EXi New,Honda,0.4166666666666667,"90,000",Petrol,0.125
92,Hyundai Elite i20 Magna 1.2,Hyundai,0.7916666666666666,"4,15,000",Petrol,0.08
93,Skoda Fabia 1.2L Diesel Elegance,Skoda,0.6666666666666666,"1,55,000",Diesel,0.1146575
94,BMW 3 Series 320i,BMW,0.6666666666666666,"6,00,000",Petrol,0.15125
95,Maruti Suzuki A Star Lxi,Maruti,0.6666666666666666,"1,89,500",Petrol,0.03125
96,Toyota Etios GD,Toyota,0.75,"3,50,000",Diesel,0.15
97,Ford Figo Diesel EXI Option,Ford,0.7083333333333334,"2,10,000",Diesel,0.0875
98,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,0.7916666666666666,"3,90,000",Petrol,0.0875
99,Chevrolet Beat LT Diesel,Chevrolet,0.7083333333333334,"1,35,000",Diesel,0.1125
100,BMW 7 Series 740Li Sedan,BMW,0.5833333333333334,"16,00,000",Petrol,0.0875
101,Mahindra XUV500 W8 AWD 2013,Mahindra,0.75,"7,01,000",Diesel,0.095
102,Hyundai i10 Magna 1.2,Hyundai,0.7916666666666666,"2,65,000",Petrol,0.045
103,Hyundai Verna Fluidic New,Hyundai,0.8333333333333334,"5,25,000",Diesel,0.0875
104,Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,0.75,"3,72,000",Petrol,0.0333725
105,Maruti Suzuki Ertiga ZXI Plus,Maruti,0.875,"6,35,000",Petrol,0.0725
106,Ford EcoSport Titanium 1.5L TDCi,Ford,0.7916666666666666,"5,50,000",Diesel,0.11
107,Maruti Suzuki Ertiga Vxi,Maruti,0.875,"5,75,000",Petrol,0.0725
108,Maruti Suzuki Ertiga VDi,Maruti,0.75,"4,85,000",Diesel,0.105
109,Maruti Suzuki Alto LXi BS III,Maruti,0.7083333333333334,"1,55,000",Petrol,0.035
